Site,Human_pop,PP,PAR,SST,SS,US,S4,S32,PROC4,PLC4,PROC32,PLC32,SC
Guiwan,1661.954807,127.8980255,36.20434473,27.32163933,0.041375814,0.050334666,22.19983074,8.351502883,3.888313926,15.3399354,0.287412409,3.191169153,1.366443687
Chaikou,1661.954807,131.7845917,35.96113784,27.29016401,0.083949357,0.02455424,39.58947539,28.06463556,2.722088935,8.519395174,0.630960702,1.913844757,2.113902932
Dabaisha,1661.954807,127.8980255,36.20434473,27.32163933,0.015697442,0.006046242,22.30836578,10.64565313,3.920314892,15.53931545,0.265981409,1.967383596,1.867156946
Shilang,1661.954807,127.8980255,36.20434473,27.29016401,0.039419005,0.044490952,39.30561051,27.33212752,3.260032369,10.51086861,0.570121382,1.862617002,1.564496014
Gongguan,1661.954807,131.7845917,35.96113784,27.29016401,0.020486189,0.030835127,29.09038504,15.58284241,4.145023689,14.74382958,0.461408904,2.247844231,2.320061939
Tiaoshi,21949.3672,203.3996582,39.14510326,27.36245903,0.004063253,0.020161639,32.2030354,15.002352,4.253334875,14.23422424,0.467928568,2.559737999,1.629970218
Jialeshui,10330.36636,212.2125855,38.62475862,27.21475404,0.010043638,0.004462615,40.30842413,28.00741736,4.22716882,13.71109981,0.567475587,2.012121712,1.60834375
Houbihu,20001.09941,203.3996582,39.14510326,27.30737708,0.00566916,0.042572542,30.34686593,23.78595766,3.859418431,14.38538626,0.548394726,1.788456723,1.969621321
Leidashih,16286.91223,203.3996582,39.80096561,27.37590171,0.00765665,0.002651121,26.94645539,12.68201553,4.70024999,18.79859307,0.46415179,2.837470925,1.840241676
Dingbaisha,15075.69192,210.7818604,39.80096561,27.37590171,0.007616345,0.007451714,26.0612291,15.35913728,3.687989622,13.94803848,0.344884744,1.599592065,2.069537126
GreenGrassland,2251.798154,143.8239441,36.36906893,27.40229519,0.018033131,0.052127475,31.98746146,22.27736628,4.518047768,14.83917477,0.2802628,1.027367587,1.564496014
Yayo,2222.010904,139.738739,37.15055176,27.43065571,0.017978578,0.015546907,22.2217703,10.27707478,4.332013857,17.97290376,0.252175708,1.970182766,1.782982376
LionRock,2236.129477,133.2142334,36.21748286,27.38885254,0.036667198,0.008531198,23.57169302,11.79083927,3.76104312,14.9142209,0.267468585,1.891691037,1.987262954
HenRock,2236.129477,133.2142334,34.12382741,27.38885254,0.033182839,0.008666148,34.22675659,20.34777989,4.423259458,14.7385065,0.503470566,2.212128545,1.438023212
Dongchin,2236.129477,125.0897293,34.12382741,27.38885254,0.011970221,0.021323813,28.30385426,12.79411309,4.638709619,17.502046,0.416605867,2.338413654,1.447847275
Jiamuzi,17579.20596,169.2413635,35.0176898,27.01491797,0.016564522,0.012732973,42.57564652,26.55628262,4.050399513,13.58016037,0.674942552,2.683857202,1.701292044
Jihui,10312.22631,152.0771332,33.35627592,26.87393442,0.003902933,0.037541166,34.07340805,27.9855033,3.540742394,12.92652433,0.552413107,1.917740502,2.132500255
Xinshe,8055.226845,138.4503021,32.89741373,26.75262295,0.012539964,0.021406767,39.85886023,24.25522302,3.763250147,11.63905279,0.744436237,2.456103626,2.277650925
Jiqi,9217.632745,138.4503021,32.6691725,26.75262295,0.015711789,0.028147617,32.64150114,25.04762455,3.381570831,12.10043851,0.509965116,2.097621206,1.9889281
Fenniaolin,26868.87607,166.0717011,29.68682753,26.32606563,0.030630454,0.057703178,37.06118586,23.68173521,4.403425181,14.02776166,0.572015245,1.882647171,1.731693345
Bitou,18647.41829,149.4507446,30.43120706,24.70163949,0.005521627,0.004874876,29.06211308,18.46841145,4.993615099,18.46280651,0.386998314,1.543359884,1.618570988
Longdong,19380.52448,144.8679352,30.73768969,24.70163949,0.007861297,0.006934139,34.50514377,20.67484969,4.699844867,15.98312734,0.241450307,0.873596294,2.025974553
Meiyanshan,21872.39053,142.8326111,30.22827579,24.76278683,0.00437809,0.015801008,16.4386013,6.806845557,4.171340832,21.83911506,0.174339962,1.749291604,2.346746977
825K,35131.81233,149.4507446,29.680862,24.70163949,0.00834787,0.006557535,35.79695405,34.08893949,3.13800394,9.242264567,0.354235616,1.360989391,1.311437497
Chaojing,546875.5467,161.0596924,29.86093082,24.45344262,0.005709987,0.01329027,37.43710706,29.69819765,3.66975843,12.2828143,0.488168443,1.838732502,1.463007649
